created_at,entry_id,field1,field2,field3,field4,field5
2022-04-25 09:58:41 UTC,638,,,70.00000,,
2022-04-25 09:58:59 UTC,639,,28.00000,,,
2022-04-26 04:08:37 UTC,640,,31.80000,,,
2022-04-26 04:08:52 UTC,641,,32.30000,,,
2022-04-26 04:09:09 UTC,642,,32.30000,,,
2022-04-26 04:09:27 UTC,643,,32.30000,,,
2022-04-26 04:09:43 UTC,644,,32.30000,,,
2022-04-26 04:10:03 UTC,645,,32.30000,,,
2022-04-26 04:10:19 UTC,646,,32.30000,,,
2022-04-26 04:10:35 UTC,647,,,60.00000,,
2022-04-26 04:10:50 UTC,648,,,59.00000,,
2022-04-26 04:11:06 UTC,649,,,59.00000,,
2022-04-26 04:11:22 UTC,650,,,59.00000,,
2022-04-26 04:11:37 UTC,651,,,59.00000,,
2022-04-26 04:11:53 UTC,652,,,59.00000,,
2022-04-26 04:12:09 UTC,653,,,59.00000,,
2022-04-26 04:12:24 UTC,654,,32.30000,,,
2022-04-26 04:12:41 UTC,655,,32.50000,,,
2022-04-26 04:12:56 UTC,656,,32.80000,,,
2022-04-26 04:13:13 UTC,657,,32.80000,,,
2022-04-26 04:13:30 UTC,658,,32.80000,,,
2022-04-26 04:13:47 UTC,659,,32.80000,,,
2022-04-26 04:14:05 UTC,660,,,57.00000,,
2022-04-26 04:14:25 UTC,661,,32.80000,,,
2022-04-26 04:14:41 UTC,662,,,,298.00000,
2022-04-26 04:14:57 UTC,663,,32.80000,,,
2022-04-26 04:15:16 UTC,664,,32.80000,,,
2022-04-26 04:15:32 UTC,665,,32.80000,,,
2022-04-26 04:15:51 UTC,666,,32.80000,,,
2022-04-26 04:16:07 UTC,667,37.69000,,,,
2022-04-26 04:16:23 UTC,668,37.69000,,,,
2022-04-26 04:16:39 UTC,669,,,,,1
2022-04-26 04:16:55 UTC,670,,,,,1
2022-04-26 04:17:10 UTC,671,,,,269.00000,
2022-04-26 04:17:25 UTC,672,,,57.00000,,
2022-04-26 04:17:45 UTC,673,,,,270.00000,
2022-04-26 04:18:01 UTC,674,,,,260.00000,
2022-04-26 04:18:23 UTC,675,37.69000,,,,
2022-04-26 04:18:39 UTC,676,37.69000,,,,
2022-04-26 04:18:54 UTC,677,,,,,1
2022-04-26 04:19:10 UTC,678,,,56.00000,,
2022-04-26 04:19:26 UTC,679,,32.30000,,,
2022-04-26 04:19:44 UTC,680,,32.30000,,,
2022-04-26 04:20:00 UTC,681,,,,,1
2022-04-26 04:20:17 UTC,682,,32.30000,,,
2022-04-26 04:20:34 UTC,683,37.69000,,,,
2022-04-26 04:20:50 UTC,684,37.69000,,,,
2022-04-26 04:21:05 UTC,685,,,,244.00000,
2022-04-26 04:21:22 UTC,686,,32.40000,,,
2022-04-26 04:21:38 UTC,687,,32.80000,,,
2022-04-26 04:21:57 UTC,688,,32.80000,,,
2022-04-26 04:22:14 UTC,689,,32.80000,,,
2022-04-26 04:22:30 UTC,690,,32.80000,,,
2022-04-26 04:22:46 UTC,691,,32.80000,,,
2022-04-26 04:23:04 UTC,692,,32.80000,,,
2022-04-26 04:23:23 UTC,693,,32.80000,,,
2022-04-26 04:23:40 UTC,694,,32.80000,,,
2022-04-26 04:23:56 UTC,695,,32.80000,,,
2022-04-26 04:24:13 UTC,696,,32.80000,,,
2022-04-26 04:24:30 UTC,697,,32.80000,,,
2022-04-26 04:24:46 UTC,698,,32.80000,,,
2022-04-26 04:25:03 UTC,699,,32.80000,,,
2022-04-26 04:25:20 UTC,700,,32.80000,,,
2022-04-26 04:25:41 UTC,701,,32.80000,,,
2022-04-26 04:25:56 UTC,702,,32.80000,,,
2022-04-26 04:26:12 UTC,703,,32.80000,,,
2022-04-26 04:26:28 UTC,704,,32.80000,,,
2022-04-26 04:26:43 UTC,705,,32.80000,,,
2022-04-26 04:27:02 UTC,706,,32.80000,,,
2022-04-26 04:27:17 UTC,707,,32.80000,,,
2022-04-26 04:44:28 UTC,708,,33.80000,,,
2022-04-26 04:44:44 UTC,709,,33.30000,,,
2022-04-26 04:44:59 UTC,710,,33.20000,,,
2022-04-26 04:45:14 UTC,711,,,57.00000,,
2022-04-26 04:45:30 UTC,712,,,57.00000,,
2022-04-26 04:45:46 UTC,713,,,58.00000,,
2022-04-26 04:46:02 UTC,714,,,,243.00000,
2022-04-26 04:46:17 UTC,715,,,58.00000,,
2022-04-26 04:46:33 UTC,716,,32.30000,,,
2022-04-26 04:46:48 UTC,717,,,,238.00000,
2022-04-26 04:47:04 UTC,718,,,,,1
2022-04-26 04:47:20 UTC,719,,,,,1
2022-04-26 04:47:35 UTC,720,,,,,1
2022-04-26 04:47:50 UTC,721,,,,,1
2022-04-26 04:48:05 UTC,722,,,,229.00000,
2022-04-26 04:48:21 UTC,723,,,61.00000,,
2022-04-26 04:48:36 UTC,724,,,61.00000,,
2022-04-26 04:48:52 UTC,725,,,61.00000,,
2022-04-26 04:49:10 UTC,726,,31.80000,,,
2022-04-26 04:49:26 UTC,727,,31.80000,,,
2022-04-26 04:49:42 UTC,728,,31.80000,,,
2022-04-26 04:49:59 UTC,729,,31.80000,,,
2022-04-26 04:50:15 UTC,730,,31.80000,,,
2022-04-26 04:50:31 UTC,731,,31.80000,,,
2022-04-26 04:50:49 UTC,732,,31.80000,,,
2022-04-26 04:51:04 UTC,733,,31.80000,,,
2022-04-26 04:51:20 UTC,734,,31.80000,,,
2022-04-26 04:51:37 UTC,735,,31.80000,,,
2022-04-26 04:51:54 UTC,736,,31.80000,,,
2022-04-26 04:52:11 UTC,737,,31.80000,,,
